episode,scenario,steps,return,rolling_return_20,distance_m,mean_speed_mps,outcome,epsilon,mean_loss,eval_return,eval_distance_m,eval_safe_rate
1,lane,900,-80.89306,-80.89306,82.625,0.9181,complete,0.9905,0.127373,,,
2,lane,900,-39.96588,-60.42947,138.477,1.5386,complete,0.981,0.064063,,,
3,lane,396,-480.85392,-200.57095,219.894,5.5529,off_road,0.97682,0.018209,,,
4,lane,312,-417.50145,-254.80358,80.972,2.5952,off_road,0.973527,0.233135,,,
5,lane,900,-58.27898,-215.49866,126.171,1.4019,complete,0.964027,0.275648,,,
6,lane,900,-204.7958,-213.71485,113.887,1.2654,complete,0.954527,0.251275,,,
7,lane,815,-464.84294,-249.59029,262.722,3.2236,off_road,0.945924,0.147112,,,
8,lane,397,-378.55308,-265.71064,144.434,3.6381,off_road,0.941733,0.183902,,,
9,lane,900,-82.04408,-245.30324,152.018,1.6891,complete,0.932233,0.214856,,,
10,lane,437,-462.57634,-267.03055,98.281,2.249,off_road,0.927621,0.276038,,,
11,lane,900,-91.20559,-251.04647,135.727,1.5081,complete,0.918121,0.238055,,,
12,lane,900,-296.8968,-254.86733,132.874,1.4764,complete,0.908621,0.213516,,,
13,lane,516,-464.59529,-271.00025,162.467,3.1486,off_road,0.903174,0.129505,,,
14,lane,900,53.47238,-247.82363,243.718,2.708,complete,0.893674,0.255823,,,
15,lane,900,107.334,-224.14646,355.504,3.95,complete,0.884174,0.178251,,,
16,lane,424,-413.01284,-235.9506,238.219,5.6184,off_road,0.879698,0.195629,,,
17,lane,900,152.4679,-213.10246,497.721,5.5302,complete,0.870198,0.208054,,,
18,lane,900,-301.54853,-218.01613,265.427,2.9492,complete,0.860698,0.190456,,,
19,lane,900,305.37493,-190.46923,711.405,7.9045,complete,0.851198,0.148392,,,
20,lane,900,130.94504,-174.39852,378.699,4.2078,complete,0.841698,0.142489,,,
21,lane,900,46.91974,-168.00788,346.2,3.8467,complete,0.832198,0.184812,,,
22,lane,900,131.43461,-159.43785,401.211,4.4579,complete,0.822698,0.17286,,,
23,lane,900,404.77839,-115.15624,989.839,10.9982,complete,0.813198,0.178811,,,
24,lane,900,207.61842,-83.90024,706.163,7.8463,complete,0.803698,0.08945,,,
25,lane,900,179.8244,-71.99507,579.283,6.4365,complete,0.794198,0.12641,-516.8426,87.827,0.0
26,lane,900,319.62459,-45.77406,736.103,8.1789,complete,0.784698,0.171384,,,
27,lane,900,146.17533,-15.22314,756.121,8.4013,complete,0.775198,0.170883,,,
28,lane,900,584.33149,32.92109,1366.77,15.1863,complete,0.765698,0.129364,,,
29,lane,900,701.68337,72.10746,1761.338,19.5704,complete,0.756198,0.088297,,,
30,lane,900,646.41434,127.55699,1510.629,16.7848,complete,0.746698,0.108598,,,
31,lane,900,674.3545,165.835,1552.044,17.2449,complete,0.737198,0.098295,,,
32,lane,900,718.71926,216.6158,1713.02,19.0336,complete,0.727698,0.152535,,,
33,lane,900,484.39887,264.06551,1077.339,11.9704,complete,0.718198,0.126007,,,
34,lane,900,677.02478,295.24313,1566.901,17.41,complete,0.708698,0.089768,,,
35,lane,900,869.52401,333.35263,2260.311,25.1146,complete,0.699198,0.102961,,,
36,lane,900,746.48269,391.32741,1720.686,19.1187,complete,0.689698,0.105401,,,
37,lane,900,692.50219,418.32912,2231.089,24.7899,complete,0.680198,0.082718,,,
38,lane,900,730.63956,469.93853,2281.113,25.3457,complete,0.670698,0.095359,,,
39,lane,900,818.45122,495.59234,2380.25,26.4472,complete,0.661198,0.098038,,,
40,lane,900,985.09377,538.29978,2338.624,25.9847,complete,0.651698,0.113881,,,
41,lane,900,858.2573,578.86665,2291.853,25.465,complete,0.642198,0.128536,,,
42,lane,900,797.77267,612.18356,2366.605,26.2956,complete,0.632698,0.098382,,,
43,lane,900,927.68803,638.32904,2231.502,24.7945,complete,0.623198,0.110815,,,
44,lane,900,1005.2915,678.21269,2412.616,26.8068,complete,0.613698,0.109012,,,
45,lane,900,1031.2532,720.78413,2469.204,27.4356,complete,0.604198,0.130101,,,
46,lane,900,997.76693,754.69125,2378.397,26.4266,complete,0.594698,0.096966,,,
47,lane,900,940.00895,794.38293,2260.086,25.1121,complete,0.585198,0.118681,,,
48,lane,900,824.98132,806.41542,2376.306,26.4034,complete,0.575698,0.104448,,,
49,lane,900,1029.35892,822.7992,2460.477,27.3386,complete,0.566198,0.11694,,,
50,lane,900,1067.44744,843.85086,2547.923,28.3103,complete,0.556698,0.070062,-490.04458,224.276,0.0
51,lane,900,994.41316,859.85379,2475.953,27.5106,complete,0.547198,0.100601,,,
52,lane,900,1060.90407,876.96303,2538.644,28.2072,complete,0.537698,0.101732,,,
53,lane,900,1052.35601,905.36089,2519.883,27.9987,complete,0.528198,0.143052,,,
54,lane,900,1065.96206,924.80775,2536.295,28.1811,complete,0.518698,0.126618,,,
55,lane,900,1054.23861,934.04348,2499.581,27.7731,complete,0.509198,0.077105,,,
56,lane,900,1075.58779,950.49874,2567.97,28.533,complete,0.499698,0.073848,,,
57,lane,900,1070.75371,969.41131,2554.279,28.3809,complete,0.490198,0.096004,,,
58,lane,900,1066.40982,986.19982,2552.602,28.3622,complete,0.480698,0.093886,,,
59,lane,900,1064.2555,998.49004,2515.824,27.9536,complete,0.471198,0.100654,,,
60,lane,900,1036.71762,1001.07123,2468.123,27.4236,complete,0.461698,0.088499,,,
61,lane,900,1073.67423,1011.84208,2557.563,28.4174,complete,0.452198,0.11961,,,
62,lane,900,1050.21082,1024.46399,2487.693,27.641,complete,0.442698,0.099113,,,
