episode,scenario,steps,return,rolling_return_20,distance_m,mean_speed_mps,outcome,epsilon,mean_loss,eval_return,eval_distance_m,eval_safe_rate
1,lane,900,63.07966,63.07966,210.139,2.3349,complete,0.9905,0.621669,,,
2,lane,279,-423.75611,-180.33823,110.188,3.9494,off_road,0.987555,0.805692,,,
3,lane,889,-672.67951,-344.45199,177.037,1.9914,off_road,0.978171,0.401559,,,
4,lane,900,-485.48885,-379.7112,109.501,1.2167,complete,0.968671,0.304139,,,
5,lane,900,-102.69201,-324.30736,132.983,1.4776,complete,0.959171,0.1366,,,
6,lane,900,-42.48159,-277.3364,183.668,2.0408,complete,0.949671,0.109851,,,
7,lane,900,-189.32852,-264.76385,110.825,1.2314,complete,0.940171,0.143945,,,
8,lane,900,-84.5872,-242.24177,150.97,1.6774,complete,0.930671,0.107454,,,
9,lane,619,-379.42589,-257.48445,102.145,1.6502,off_road,0.924137,0.109968,,,
10,lane,900,-210.57591,-252.79359,235.226,2.6136,complete,0.914637,0.143941,,,
11,lane,319,-446.66684,-270.41843,98.894,3.1001,off_road,0.91127,0.056605,,,
12,lane,900,-28.83785,-250.28672,228.939,2.5438,complete,0.90177,0.149168,,,
13,lane,881,-620.47755,-278.76294,140.706,1.5971,off_road,0.892471,0.189088,,,
14,lane,900,46.76564,-255.5109,331.941,3.6882,complete,0.882971,0.192878,,,
15,lane,900,-0.52871,-238.51208,334.752,3.7195,complete,0.873471,0.12088,,,
16,lane,900,29.84073,-221.74003,188.338,2.0926,complete,0.863971,0.126869,,,
17,lane,900,138.87775,-200.52722,474.495,5.2722,complete,0.854471,0.114532,,,
18,lane,900,-68.11814,-193.17116,281.866,3.1318,complete,0.844971,0.078363,,,
19,lane,900,64.61748,-179.60334,417.152,4.635,complete,0.835471,0.121678,,,
20,lane,726,-434.28058,-192.3372,350.802,4.832,off_road,0.827807,0.110999,,,
21,lane,798,-191.91834,-205.0871,633.206,7.9349,off_road,0.819384,0.129361,,,
22,lane,900,-125.12838,-190.15571,422.205,4.6912,complete,0.809884,0.145028,,,
23,lane,900,537.45432,-129.64902,1197.933,13.3104,complete,0.800384,0.15828,,,
24,lane,900,195.37264,-95.60595,627.524,6.9725,complete,0.790884,0.123082,,,
25,lane,900,276.97134,-76.62278,718.965,7.9885,complete,0.781384,0.134865,222.21862,924.608,0.6667
26,lane,900,611.67209,-43.9151,1501.807,16.6867,complete,0.771884,0.087333,,,
27,lane,900,618.92237,-3.50255,1422.163,15.8018,complete,0.762384,0.114408,,,
28,lane,900,275.9502,14.52432,622.096,6.9122,complete,0.752884,0.105814,,,
29,lane,900,387.32931,52.86208,985.983,10.9554,complete,0.743384,0.104076,,,
30,lane,900,514.04473,89.09311,1281.988,14.2443,complete,0.733884,0.112591,,,
31,lane,900,703.48983,146.60095,2046.885,22.7432,complete,0.724384,0.141784,,,
32,lane,900,908.93009,193.48934,2203.961,24.4885,complete,0.714884,0.095036,,,
33,lane,900,418.15542,245.42099,966.911,10.7435,complete,0.705384,0.137751,,,
34,lane,900,942.09205,290.18731,2224.259,24.714,complete,0.695884,0.12752,,,
35,lane,900,758.59573,328.14353,2247.741,24.9749,complete,0.686384,0.128824,,,
36,lane,900,803.16437,366.80972,1981.229,22.0137,complete,0.676884,0.065035,,,
37,lane,900,961.61045,407.94635,2297.529,25.5281,complete,0.667384,0.213921,,,
38,lane,900,923.87151,457.54583,2283.879,25.3764,complete,0.657884,0.108639,,,
39,lane,900,848.94263,496.76209,2043.777,22.7086,complete,0.648384,0.11597,,,
40,lane,900,918.69123,564.41068,2286.515,25.4057,complete,0.638884,0.079123,,,
41,lane,900,989.75106,623.49415,2348.481,26.0942,complete,0.629384,0.127141,,,
42,lane,900,983.84314,678.94273,2351.004,26.1223,complete,0.619884,0.072798,,,
43,lane,900,1012.11264,702.67564,2404.4,26.7156,complete,0.610384,0.072189,,,
44,lane,900,1026.20255,744.21714,2450.877,27.232,complete,0.600884,0.076184,,,
45,lane,900,1044.00407,782.56877,2492.983,27.6998,complete,0.591384,0.078581,,,
46,lane,900,1048.28805,804.39957,2506.958,27.8551,complete,0.581884,0.096547,,,
